"Species","Species.n","Year","Rec","SSB","TSB","SOP","SOP.core","Yield","Yield.core","mean.F","Eaten","sum.q.F"
"Cod",16,2019,3066350,47948.5,72553.4,35920.4,30783.7,35920.4,30783.7,0.547348,33613.6,0.56298
"Whiting",17,2019,9823560,140451,173519,31281.4,28153.3,31281.4,28153.3,0.235292,126930,0.24631144
"Haddock",18,2019,8993090,100762,158515,36601.4,32209.3,36601.4,32209.3,0.234293,113540,0.2394624
"Saithe",19,2019,203994,221591,396958,96634.5,87937.4,96634.5,87937.4,0.342701,0,0.3427014
"Mackerel",20,2019,4223430,4248660,5260440,840182,168839,840182,168839,0.19438,0,0.19437968
"Herring",21,2019,13349200,1260030,1412200,432123,432123,432123,432123,0.21356,298397,0.225160092
"N.sandeel",22,2019,438493000,353278,1102860,143583,143583,143583,143583,0.147866,1060890,0.1568195
"S.sandeel",23,2019,191706000,73146.2,225392,69622.1,69622.1,69622.1,69622.1,0.258528,139581,0.25757595
"Nor.pout",24,2019,161613000,93055.5,348654,97554.6,97554.6,97554.6,97554.6,0.444525,727571,0.957382765
"Sprat",25,2019,234157000,224659,405410,125053,121301,125053,121301,0.357257,662819,0.4819185
"Plaice",26,2019,1039900,231878,340598,86091.8,86091.8,86091.8,86091.8,0.258831,0,0.25883072
"Sole",27,2019,26470.8,27856,51914.8,10605.2,10605.2,10605.2,10605.2,0.299533,0,0.29953336
